gdp_usd,gdp_per_capita,Population,Life.Expectancy.at.Birth..Both.Sexes,Total.Fertility.Rate,box_gdp_ratio,log_gdp,log_pop,box_class
598522000000,51342.573970692145,11657421,81.8,1.61,1.0190158256505192e-4,11.777080118490135,7.066602481010054,Low
593615000000,50513.547091459885,11751600,81.9,1.53,1.960878650303648e-4,11.773504866554868,7.07009700055371,High
644655000000,54442.09509697273,11841113,82.3,1.48,1.979338622984387e-4,11.809327355438691,7.07339252561668,High
664564000000,55829.15320077322,11903530,82.4,1.47,1.3401315298451315e-4,11.822536811476532,7.075675770819734,High
13245990274,1674.8705722141474,7908665,71.3,1.34,4.906274929671596e-4,10.122084431825947,6.898103179823224,Low
44431257129,5916.673952416799,7509499,72.4,1.45,5.694873302039628e-4,10.647688601254915,6.875610963796006,Low
52023801230,7003.7927343854235,7427947,73.1,1.61,7.584478847586894e-4,10.716202081671858,6.870868796294229,Low
50689051382,6858.138645773013,7391080,73.2,1.53,0.005414786556796092,10.704914163714667,6.868707903045757,High
54297052002,7429.18588969126,7308614,73.7,1.45,0.005800977095191062,10.734776250693457,6.863835025490927,High
57080897012,7897.043568223338,7228135,74.3,1.44,0.010418735901697115,10.756490789325245,6.859026255290048,High
53929397039,7548.62352453414,7144269,74.5,1.46,0.003815255839986585,10.731825564658662,6.853957798486344,High
59167647388,8332.434016384439,7100884,74.7,1.46,0.0030999235409383385,10.772084301291171,6.851312418074547,High
68634004792,9788.811169119193,7011475,74.9,1.48,8.022945792960395e-4,10.836539340699252,6.845809389860581,High
84414122840,12200.018331652016,6919180,75.3,1.49,0.0011911685701051112,10.926415112009238,6.84005462876651,High
102397000000,14997.21137431207,6827736,75.8,1.51,3.703036710059865e-4,11.01028723298228,6.8342767204157795,Low
10526000000,31269.12359710777,336626,73.9,1.99,0.01056726591297739,10.022263365681258,5.527147656560931,High
10363200000,26261.679164143097,394613,75.1,1.43,6.054140612938089e-4,10.015493879709817,5.596171388405444,High
61371673345,6368.883228563201,9636175,74.1,1.44,7.901430310918956e-5,10.787967964812243,6.983904678503994,Low
655448000000,3724.7820207380037,175969492,69.5,2.3899999999999997,6.208365881046246e-6,11.816538242618233,8.24543738028845,Low
509795000000,2816.63191156688,180994541,70,2.2600000000000002,1.6180121225198364e-4,11.707395571652945,8.257665476254104,Low
558234000000,3043.6009684582414,183412348,70.3,2.19,4.642780411082091e-4,11.746816284253478,8.263428570634662,Low
891634000000,4742.326606067334,188016152,70.9,2.06,1.739310972887979e-5,11.950186620744551,8.274195160025139,Low
1695860000000,8732.742886640071,194195572,72.3,1.87,1.17020149068909e-5,12.229389996660618,8.288239323008185,Low
1667000000000,8502.01832406807,196071090,72.9,1.81,1.4646140371925614e-5,12.221935599828006,8.292413563177956,Low
2208840000000,11163.936173908252,197854947,73.5,1.75,4.695399712066062e-5,12.344164258364085,8.29634691347464,Low
2465230000000,12243.451849352585,201350896,74.2,1.75,1.0304471793706875e-5,12.391857444128888,8.303953566533417,Low
1795690000000,8619.72538823806,208323342,75.4,1.7,6.215870278277431e-5,12.254231364118704,8.318737934056475,Low
2063510000000,9827.68613459227,209969058,75.7,1.78,2.0422841662991698e-5,12.314606577858115,8.322155299829403,Low
1916930000000,9056.236957680374,211669594,76,1.77,1.8819318910967015e-5,12.28260625415673,8.325658476789268,Low
1873290000000,8780.38749533781,213349354,75.9,1.77,6.804171911449909e-5,12.27260501477544,8.329091332198097,Low
1951920000000,8985.083137981088,217240060,75.9,1.8,1.249666584696094e-5,12.290462014011753,8.336939914069335,Low
2179410000000,9904.090093232351,220051512,76.3,1.74,5.093121532891929e-6,12.33833893928148,8.342524356998036,Low
744773000000,23948.02370194305,31099560,79.8,1.49,3.521305391038612e-4,11.872023923929842,7.492754244624143,High
738982000000,23551.909513590548,31376734,80.1,1.52,0.0010562508924439296,11.86863386005128,7.496607735949574,High
760649000000,24040.010164040534,31640960,80.3,1.5,0.0022703969689041857,11.881184298651386,7.5002496517023065,High
895541000000,28082.799039816073,31889307,80.5,1.54,6.023780251267111e-4,11.952085473676005,7.50364508150868,High
1026690000000,31949.515104516107,32134760,80.8,1.55,5.341726441282179e-4,12.011439331997755,7.506975060709314,High
1173110000000,36217.641005318554,32390569,81,1.58,6.539411240207653e-4,12.0693387368838,7.510418577259627,High
1319260000000,40369.83970334536,32679347,81.5,1.6400000000000001,5.806747873808044e-4,12.12033039481684,7.514273369857622,High
1468820000000,44487.470759684395,33016487,81.5,1.6800000000000002,3.933680519056113e-4,12.166968577412792,7.518730861849879,High
1552990000000,46491.72473404721,33403579,81.7,1.71,3.99344993206653e-4,12.191168659232227,7.523793001442657,High
1374630000000,40653.75946352641,33813109,81.9,1.6900000000000002,5.195404647068666e-4,12.138185817742897,7.529085104497452,High
1617340000000,47274.842142674475,34211431,82.2,1.6500000000000001,3.0107480245341114e-4,12.208801327638051,7.534171240288712,High
1793330000000,51842.55679177157,34591851,82.5,1.6,4.0017747207708563e-4,12.253660213707162,7.538973801608983,High
1828370000000,52261.40173473313,34985093,82.6,1.6300000000000001,5.059561844703205e-4,12.262064086746944,7.5438830327238815,High
1846600000000,52167.664489313145,35397406,82.7,1.6,6.796417296653309e-4,12.266372831224603,7.548971437134165,High
1805750000000,50497.07776913516,35759495,82.8,1.61,3.2277977682403433e-4,12.256657623532329,7.5533913770069345,High
1556510000000,43140.034423669335,36080407,82.9,1.59,0.0015024073298597503,12.192151915208619,7.55727142789588,High
1527990000000,41959.98572911774,36415408,83,1.58,0.0010072277652340656,12.184120511988997,7.561285180174018,High
1649270000000,44887.523450163586,36742281,83,1.55,0.001347982970041291,12.21729175928999,7.565166114271451,High
1725330000000,46537.233387598404,37074185,83.1,1.55,5.743785345412182e-4,12.236872173885917,7.569071612730948,High
1743730000000,46591.16180038276,37426197,83.4,1.51,0.0015053422244269469,12.241479239433758,7.573175699253743,High
1655680000000,43862.21001237175,37747300,82.9,1.44,1.5004281322477774e-4,12.21897640270043,7.576885892732439,High
2022380000000,53142.95298791351,38055469,83.9,1.46,4.859663490540848e-4,12.305862761738473,7.5804170786058025,High
2190410000000,57108.05791696338,38355533,82.9,1.4,2.568176925781018e-4,12.340525413503075,7.583828022210436,High
2173340000000,56263.32064547569,38628008,83,1.44,3.5558812380943617e-4,12.337127673201877,7.5869023126772035,High
2241250000000,57608.99622084985,38904514,83.9,1.44,5.15779846514222e-4,12.35049030257024,7.589999994424841,High
279216000000,38368.334416388825,7277251,79.9,1.46,2.457089672511604e-4,11.445940301173955,6.861967354450796,High
286583000000,39201.30737139095,7310547,80.3,1.35,5.422266917437531e-4,11.457250424633669,6.863949873564412,High
309301000000,42116.21232003479,7343989,80.4,1.37,5.040421046165385e-4,11.490381324121445,6.865932017697151,High
362075000000,49070.676003704204,7378643,80.5,1.36,6.038744155216461e-4,11.55879853935203,6.867976498435384,High
403913000000,54469.673410943265,7415374,81,1.4,0.0012690481588857007,11.606287831227448,6.870133059887681,High
